Summary,Description,Issue Type,Priority,Status,Labels,Assignee,Reporter
"Projekt struktúra létrehozása","Alapvető projektfájlok és mappastruktúra létrehozása a frontend és backend számára","Task","High","To Do","Setup","novakakos87@gmail.com","novakakos87@gmail.com"
"Alapvető navigációs menü","Navigációs menü komponens létrehozása, linkek hozzáadása a főoldalhoz, portfólió oldalhoz, és kapcsolati oldalhoz","Task","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Főoldal hero szekció","A főoldal bevezető szövege és hívó gombok elhelyezése. A hívó gomb linkelése a portfólió szekcióhoz.","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Főoldal linkek és gombok","Gombok és linkek stílusozása a főoldalon, hover effekt hozzáadása","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Portfólió projektek megjelenítése","Portfólió oldal fejlesztése a projektek listázásával, minden projektnél kép, cím és leírás megjelenítése","Story","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Projektek részletező oldal","Dinamikus oldal létrehozása minden projekthez, ahol részletes információk és képek jelennek meg","Task","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Portfólió oldal linkek","Linkek létrehozása a projektek címére, amely átirányítja a felhasználót a részletező oldalra","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Kapcsolat oldal form","Kapcsolat oldali űrlap kialakítása név, email és üzenet mezőkkel","Task","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Kapcsolat form validáció","Kapcsolati űrlap mezőinek validálása (például kötelező mezők ellenőrzése, email formátum)","Task","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Kapcsolat form backend integráció","Backend funkció létrehozása az űrlap adatainak fogadására és tárolására","Task","High","To Do","Backend","novakakos87@gmail.com","novakakos87@gmail.com"
"Kapcsolat form visszajelzés","Visszajelző üzenet megjelenítése sikeres beküldés esetén vagy hiba esetén (pl. hálózati hiba)","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Backend API létrehozása","Backend API endpointok létrehozása az adatok (projektek, űrlap) kezelésére","Story","High","To Do","Backend","novakakos87@gmail.com","novakakos87@gmail.com"
"Projektek adatainak betöltése API-val","A projektek listájának dinamikus betöltése a backend API használatával","Task","High","To Do","Frontend,Backend","novakakos87@gmail.com","novakakos87@gmail.com"
"Egységtesztelés","Frontend és backend egységtesztek létrehozása a fontosabb funkciókhoz (pl. űrlap validáció)","Task","High","To Do","Testing","novakakos87@gmail.com","novakakos87@gmail.com"
"Kapcsolat form integrációs teszt","Integrációs teszt készítése a kapcsolat űrlap backend adatfeldolgozására","Task","Medium","To Do","Testing","novakakos87@gmail.com","novakakos87@gmail.com"
"Stílus és UI finomítás","Globális stílusok beállítása, színek, betűtípusok, és gombok megjelenésének végső finomítása","Task","Medium","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"Reszponzív design beállítása","Weboldal reszponzív beállítása különböző eszközökre, pl. mobil, tablet és asztali nézet","Task","High","To Do","Frontend","novakakos87@gmail.com","novakakos87@gmail.com"
"SEO alapok hozzáadása","Meta címkék, leírások és kulcsszavak hozzáadása az oldalakhoz a jobb keresőoptimalizálás érdekében","Task","Low","To Do","SEO","novakakos87@gmail.com","novakakos87@gmail.com"
"Élesítés előtti tesztelés","Az oldal végső tesztelése, hibák javítása, élesítés előtti utolsó ellenőrzések","Task","High","To Do","Testing","novakakos87@gmail.com","novakakos87@gmail.com"
